base,M,outer,inner,k,total_candidates,prime_count,density,midpoint,phi_base,tau_base,rad_base,outer_gcd,inner_gcd,outer_is_prime,inner_is_prime,min_length,max_length
12,1,1,7,0,11,5,0.454545,6.0,4,6,6,1,1,false,true,5,5
12,1,1,7,1,11,2,0.181818,6.0,4,6,6,1,1,false,true,9,9
12,1,1,7,2,11,1,0.090909,6.0,4,6,6,1,1,false,true,13,13
12,1,1,7,3,11,0,0.000000,6.0,4,6,6,1,1,false,true,17,17
12,1,1,11,0,11,1,0.090909,6.0,4,6,6,1,1,false,true,5,5
12,1,1,11,1,11,3,0.272727,6.0,4,6,6,1,1,false,true,9,9
12,1,1,11,2,11,1,0.090909,6.0,4,6,6,1,1,false,true,13,13
12,1,1,11,3,11,0,0.000000,6.0,4,6,6,1,1,false,true,17,17
12,1,5,1,0,11,2,0.181818,6.0,4,6,6,1,1,true,false,5,5
12,1,5,1,1,11,3,0.272727,6.0,4,6,6,1,1,true,false,9,9
12,1,5,1,2,11,1,0.090909,6.0,4,6,6,1,1,true,false,13,13
12,1,5,1,3,11,1,0.090909,6.0,4,6,6,1,1,true,false,17,17
12,1,5,7,0,11,2,0.181818,6.0,4,6,6,1,1,true,true,5,5
12,1,5,7,1,11,2,0.181818,6.0,4,6,6,1,1,true,true,9,9
12,1,5,7,2,11,0,0.000000,6.0,4,6,6,1,1,true,true,13,13
12,1,5,7,3,11,1,0.090909,6.0,4,6,6,1,1,true,true,17,17
12,1,5,11,0,11,4,0.363636,6.0,4,6,6,1,1,true,true,5,5
