18,3,1,5,0,100,21,0.210000
18,3,1,5,1,100,17,0.170000
18,3,1,5,2,100,11,0.110000
18,3,1,5,3,100,10,0.100000
18,3,1,5,4,100,1,0.010000
18,3,1,5,5,100,6,0.060000
18,4,1,5,0,100,17,0.170000
18,4,1,5,1,100,14,0.140000
18,4,1,5,2,100,11,0.110000
18,4,1,5,3,100,8,0.080000
18,4,1,5,4,100,5,0.050000
18,4,1,5,5,100,8,0.080000
18,2,5,1,0,100,16,0.160000
18,2,5,1,1,100,17,0.170000
18,2,5,1,2,100,11,0.110000
18,2,5,1,3,100,6,0.060000
18,2,5,1,4,100,10,0.100000
18,2,5,1,5,100,4,0.040000
18,3,5,1,0,100,17,0.170000
18,3,5,1,1,100,10,0.100000
18,3,5,1,2,100,9,0.090000
18,3,5,1,3,100,10,0.100000
18,3,5,1,4,100,8,0.080000
18,3,5,1,5,100,7,0.070000
18,4,5,1,0,100,16,0.160000
18,4,5,1,1,100,16,0.160000
18,4,5,1,2,100,10,0.100000
18,4,5,1,3,100,13,0.130000
18,4,5,1,4,100,5,0.050000
18,4,5,1,5,100,4,0.040000
30,2,1,1,0,100,19,0.190000
30,2,1,1,1,100,19,0.190000
30,2,1,1,2,100,13,0.130000
30,2,1,1,3,100,11,0.110000
30,2,1,1,4,100,6,0.060000
30,2,1,1,5,100,7,0.070000
30,3,1,1,0,100,15,0.150000
30,3,1,1,1,100,18,0.180000
30,3,1,1,2,100,11,0.110000
30,3,1,1,3,100,8,0.080000
30,3,1,1,4,100,7,0.070000
30,3,1,1,5,100,5,0.050000
30,4,1,1,0,100,11,0.110000
30,4,1,1,1,100,13,0.130000
30,4,1,1,2,100,12,0.120000
30,4,1,1,3,100,18,0.180000
30,4,1,1,4,100,12,0.120000
30,4,1,1,5,100,8,0.080000
30,2,1,7,0,100,23,0.230000
30,2,1,7,1,100,13,0.130000
30,2,1,7,2,100,17,0.170000
30,2,1,7,3,100,10,0.100000
30,2,1,7,4,100,6,0.060000
30,2,1,7,5,100,8,0.080000
30,3,1,7,0,100,19,0.190000
30,3,1,7,1,100,16,0.160000
30,3,1,7,2,100,8,0.080000
30,3,1,7,3,100,9,0.090000
30,3,1,7,4,100,12,0.120000
30,3,1,7,5,100,12,0.120000
30,4,1,7,0,100,11,0.110000
30,4,1,7,1,100,9,0.090000
30,4,1,7,2,100,10,0.100000
30,4,1,7,3,100,7,0.070000
30,4,1,7,4,100,11,0.110000
30,4,1,7,5,100,6,0.060000
30,2,7,1,0,100,17,0.170000
30,2,7,1,1,100,8,0.080000
30,2,7,1,2,100,10,0.100000
30,2,7,1,3,100,8,0.080000
30,2,7,1,4,100,9,0.090000
30,2,7,1,5,100,7,0.070000
30,3,7,1,0,100,13,0.130000
30,3,7,1,1,100,12,0.120000
30,3,7,1,2,100,9,0.090000
30,3,7,1,3,100,6,0.060000
30,3,7,1,4,100,7,0.070000
30,3,7,1,5,100,9,0.090000
30,4,7,1,0,100,17,0.170000
30,4,7,1,1,100,13,0.130000
30,4,7,1,2,100,12,0.120000
30,4,7,1,3,100,11,0.110000
30,4,7,1,4,100,4,0.040000
30,4,7,1,5,100,7,0.070000
