base,outer,inner,k_outer,k_inner,middle_length,total_padding,total_digits,total_tested,primes_found,composites_found,density,mean_gap,std_gap,min_gap,max_gap,gap_ratio,relative_std,elapsed_ms,examples
10,3,7,1,2,5,6,13,100000,7594,92406,0.07594000,1316660.0817,1192981.9417,100000,10200000,102.0000,0.9061,149,"307000002400703;307000003000703;307000006000703;307000006300703;307000008400703"
10,3,7,1,3,5,8,15,100000,6535,93465,0.06535000,15297520.6612,13993087.2994,1000000,129000000,129.0000,0.9147,166,"30700000015000703;30700000042000703;30700000060000703;30700000077000703;30700000086000703"
10,3,7,2,0,5,4,11,100000,8696,91304,0.08696000,114971.8229,103920.2641,10000,1020000,102.0000,0.9039,127,"3007000277003;3007000327003;3007000687003;3007000717003;3007000877003"
10,3,7,2,1,5,6,13,100000,7494,92506,0.07494000,1334191.9125,1223511.8253,100000,9800000,98.0000,0.9170,148,"300700002407003;300700002607003;300700003507003;300700004207003;300700004507003"
10,3,7,2,2,5,8,15,100000,6555,93445,0.06555000,15251296.9179,13790473.5640,1000000,141000000,141.0000,0.9042,166,"30070000014007003;30070000023007003;30070000035007003;30070000072007003;30070000078007003"
10,3,7,2,3,5,10,17,100000,5928,94072,0.05928000,168690737.3039,157230566.3906,10000000,1640000000,164.0000,0.9321,175,"3007000000150007003;3007000000200007003;3007000000210007003;3007000000440007003;3007000001050007003"
10,3,7,3,0,5,6,13,100000,7395,92605,0.07395000,1352299.1615,1218091.5732,100000,10500000,105.0000,0.9008,142,"300070000370003;300070001770003;300070003370003;300070004570003;300070007270003"
10,3,7,3,1,5,8,15,100000,6619,93381,0.06619000,15106225.4458,13863440.1150,1000000,147000000,147.0000,0.9177,163,"30007000011070003;30007000078070003;30007000081070003;30007000087070003;30007000095070003"
10,3,7,3,2,5,10,17,100000,5973,94027,0.05973000,167401205.6263,154682802.4560,10000000,1740000000,174.0000,0.9240,169,"3000700000240070003;3000700000440070003;3000700000570070003;3000700000660070003;3000700000710070003"
10,3,7,3,3,5,12,19,0,0,0,0.00000000,0.0000,0.0000,0,0,0.0000,0.0000,20,""
10,3,7,0,0,6,0,8,1000000,113517,886483,0.11351700,880.9234,765.3793,100,8300,83.0000,0.8688,724,"3700000673;3700001273;3700002673;3700002973;3700003273"
10,3,7,0,1,6,2,10,1000000,94061,905939,0.09406100,10631.4055,9495.5067,1000,122000,122.0000,0.8932,1268,"370000005073;370000008073;370000009073;370000035073;370000036073"
10,3,7,0,2,6,4,12,1000000,80124,919876,0.08012400,124805.4866,112814.5274,10000,1280000,128.0000,0.9039,1229,"37000000020073;37000000090073;37000000150073;37000000200073;37000000780073"
10,3,7,0,3,6,6,14,1000000,69649,930351,0.06964900,1435768.4356,1319452.6459,100000,15300000,153.0000,0.9190,1607,"3700000000600073;3700000001700073;3700000002700073;3700000002900073;3700000005900073"
10,3,7,1,0,6,2,10,1000000,94253,905747,0.09425300,10609.8120,9413.3836,1000,113000,113.0000,0.8872,1332,"307000002703;307000008703;307000035703;307000048703;307000054703"
10,3,7,1,1,6,4,12,1000000,80499,919501,0.08049900,124223.2105,112717.1961,10000,1260000,126.0000,0.9074,1267,"30700000090703;30700000200703;30700000260703;30700000270703;30700000290703"
10,3,7,1,2,6,6,14,1000000,69914,930086,0.06991400,1430296.2253,1318391.5480,100000,15500000,155.0000,0.9218,1646,"3070000002600703;3070000004100703;3070000005300703;3070000005400703;3070000006900703"
10,3,7,1,3,6,8,16,1000000,62213,937787,0.06221300,16073876.4226,14887994.8158,1000000,164000000,164.0000,0.9262,1664,"307000000002000703;307000000021000703;307000000074000703;307000000078000703;307000000107000703"
10,3,7,2,0,6,4,12,1000000,80171,919829,0.08017100,124731.4457,112689.7312,10000,1200000,120.0000,0.9035,1245,"30070000157003;30070000237003;30070000247003;30070000277003;30070000367003"
10,3,7,2,1,6,6,14,1000000,70006,929994,0.07000600,1428429.3979,1297928.4414,100000,15000000,150.0000,0.9086,1682,"3007000002407003;3007000002707003;3007000008007003;3007000008707003;3007000011607003"
10,3,7,2,2,6,8,16,1000000,62001,937999,0.06200100,16128596.7742,14848233.1402,1000000,148000000,148.0000,0.9206,1670,"300700000005007003;300700000012007003;300700000015007003;300700000023007003;300700000036007003"
10,3,7,2,3,6,10,18,0,0,0,0.00000000,0.0000,0.0000,0,0,0.0000,0.0000,205,""
10,3,7,3,0,6,6,14,1000000,70433,929567,0.07043300,1419802.0786,1301368.8057,100000,15400000,154.0000,0.9166,1659,"3000700000370003;3000700001270003;3000700002670003;3000700002770003;3000700009670003"
10,3,7,3,1,6,8,16,1000000,62233,937767,0.06223300,16068405.3220,14846339.7228,1000000,151000000,151.0000,0.9239,1674,"300070000006070003;300070000029070003;300070000036070003;300070000042070003;300070000060070003"
10,3,7,3,2,6,10,18,0,0,0,0.00000000,0.0000,0.0000,0,0,0.0000,0.0000,212,""
10,3,7,3,3,6,12,20,0,0,0,0.00000000,0.0000,0.0000,0,0,0.0000,0.0000,212,""
