base,M,outer,inner,k,seed,seed_digits,membrane_digits,discriminant,is_perfect_square,sqrt_disc,disc_mod_base,disc_mod_3,disc_mod_5,disc_mod_7,qr_3,qr_5,qr_7,qr_11,qr_positive_count,goldbach_pairs,goldbach_lambda,goldbach_coverage,is_prime,membrane_value
10,2,3,7,1,43,2,10,1813,false,-1,3,1,3,0,1,-1,0,1,2,0,0.000000,0.000000,false,3070430703
10,2,3,7,1,44,2,10,1900,false,-1,0,1,0,3,1,0,-1,-1,1,3,2.253797,0.895000,false,3070440703
10,2,3,7,1,45,2,10,1989,false,-1,9,0,4,1,0,1,1,1,3,0,0.000000,0.000000,false,3070450703
10,2,3,7,1,46,2,10,2080,false,-1,0,1,0,1,1,0,1,1,3,4,2.170312,0.885858,false,3070460703
10,2,3,7,1,47,2,10,2173,false,-1,3,1,3,3,1,-1,-1,-1,1,0,0.000000,0.000000,false,3070470703
10,2,3,7,1,48,2,10,2268,false,-1,8,0,3,0,0,-1,0,-1,0,5,4.228927,0.985432,false,3070480703
10,2,3,7,1,49,2,10,2365,false,-1,5,1,0,6,1,0,-1,0,1,0,0.000000,0.000000,false,3070490703
10,2,3,7,1,50,2,10,2464,false,-1,4,1,4,0,1,1,0,0,2,4,2.875785,0.943628,true,3070500703
10,2,3,7,1,51,2,10,2565,false,-1,5,0,0,3,0,0,-1,-1,0,0,0.000000,0.000000,false,3070510703
10,2,3,7,1,52,2,10,2668,false,-1,8,1,3,1,1,-1,1,-1,2,3,2.398693,0.909163,false,3070520703
10,2,3,7,1,53,2,10,2773,false,-1,3,1,3,1,1,-1,1,1,3,0,0.000000,0.000000,false,3070530703
10,2,3,7,1,54,2,10,2880,false,-1,0,0,0,3,0,0,-1,1,1,5,4.480738,0.988675,true,3070540703
10,2,3,7,1,55,2,10,2989,false,-1,9,1,4,0,1,1,0,-1,2,0,0.000000,0.000000,false,3070550703
10,2,3,7,1,56,2,10,3100,false,-1,0,1,0,6,1,0,-1,1,2,3,2.737865,0.935292,false,3070560703
10,2,3,7,1,57,2,10,3213,false,-1,3,0,3,0,0,-1,0,1,1,0,0.000000,0.000000,false,3070570703
10,2,3,7,1,58,2,10,3328,false,-1,8,1,3,3,1,-1,-1,-1,1,4,2.408384,0.910039,false,3070580703
10,2,3,7,1,59,2,10,3445,false,-1,5,1,0,1,1,0,1,-1,2,0,0.000000,0.000000,false,3070590703
10,2,3,7,1,60,2,10,3564,false,-1,4,0,4,1,0,1,1,0,2,6,6.300886,0.998165,true,3070600703
10,2,3,7,1,61,2,10,3685,false,-1,5,1,0,3,1,0,-1,0,1,0,0.000000,0.000000,false,3070610703
10,2,3,7,1,62,2,10,3808,false,-1,8,1,3,0,1,-1,0,-1,1,3,2.485811,0.916742,false,3070620703
10,2,3,7,1,63,2,10,3933,false,-1,3,0,3,6,0,-1,-1,-1,0,0,0.000000,0.000000,false,3070630703
10,2,3,7,1,64,2,10,4060,false,-1,0,1,0,0,1,0,0,1,2,5,2.442738,0.913077,false,3070640703
10,2,3,7,1,65,2,10,4189,false,-1,9,1,4,3,1,1,-1,1,3,0,0.000000,0.000000,false,3070650703
10,2,3,7,1,66,2,10,4320,false,-1,0,0,0,1,0,0,1,-1,1,6,5.516014,0.995978,false,3070660703
10,2,3,7,1,67,2,10,4453,false,-1,3,1,3,1,1,-1,1,1,3,0,0.000000,0.000000,false,3070670703
10,2,3,7,1,68,2,10,4588,false,-1,8,1,3,3,1,-1,-1,1,2,2,2.689456,0.932082,false,3070680703
10,2,3,7,1,69,2,10,4725,false,-1,5,0,0,0,0,0,0,-1,0,0,0.000000,0.000000,false,3070690703
10,2,3,7,1,70,2,10,4864,false,-1,4,1,4,6,1,1,-1,-1,2,5,4.096360,0.983367,false,3070700703
10,2,3,7,1,71,2,10,5005,false,-1,5,1,0,0,1,0,0,0,1,0,0.000000,0.000000,false,3070710703
10,2,3,7,1,72,2,10,5148,false,-1,8,0,3,3,0,-1,-1,0,0,6,5.197592,0.994470,false,3070720703
10,2,3,7,1,73,2,10,5293,false,-1,3,1,3,1,1,-1,1,-1,2,0,0.000000,0.000000,false,3070730703
10,2,3,7,1,74,2,10,5440,false,-1,0,1,0,1,1,0,1,-1,2,5,2.712432,0.933625,false,3070740703
10,2,3,7,1,75,2,10,5589,false,-1,9,0,4,3,0,1,-1,1,2,0,0.000000,0.000000,true,3070750703
10,2,3,7,1,76,2,10,5740,false,-1,0,1,0,0,1,0,0,1,2,5,2.832466,0.941132,false,3070760703
10,2,3,7,1,77,2,10,5893,false,-1,3,1,3,6,1,-1,-1,-1,1,0,0.000000,0.000000,false,3070770703
10,2,3,7,1,78,2,10,6048,false,-1,8,0,3,0,0,-1,0,1,1,7,5.918975,0.997312,false,3070780703
10,2,3,7,1,79,2,10,6205,false,-1,5,1,0,3,1,0,-1,1,2,0,0.000000,0.000000,false,3070790703
10,2,3,7,1,80,2,10,6364,false,-1,4,1,4,1,1,1,1,-1,3,4,3.667154,0.974451,false,3070800703
10,2,3,7,1,81,2,10,6525,false,-1,5,0,0,1,0,0,1,-1,1,0,0.000000,0.000000,false,3070810703
10,2,3,7,1,82,2,10,6688,false,-1,8,1,3,3,1,-1,-1,0,1,5,2.859097,0.942679,false,3070820703
10,2,3,7,1,83,2,10,6853,false,-1,3,1,3,0,1,-1,0,0,1,0,0.000000,0.000000,false,3070830703
10,2,3,7,1,84,2,10,7020,false,-1,0,0,0,6,0,0,-1,-1,0,8,6.779120,0.998863,false,3070840703
10,2,3,7,1,85,2,10,7189,false,-1,9,1,4,0,1,1,0,-1,2,0,0.000000,0.000000,false,3070850703
10,2,3,7,1,86,2,10,7360,false,-1,0,1,0,3,1,0,-1,1,2,5,2.931205,0.946667,false,3070860703
10,2,3,7,1,87,2,10,7533,false,-1,3,0,3,1,0,-1,1,1,2,0,0.000000,0.000000,false,3070870703
10,2,3,7,1,88,2,10,7708,false,-1,8,1,3,1,1,-1,1,-1,2,4,3.219964,0.960044,false,3070880703
10,2,3,7,1,89,2,10,7885,false,-1,5,1,0,3,1,0,-1,1,2,0,0.000000,0.000000,true,3070890703
10,2,3,7,1,90,2,10,8064,false,-1,4,0,4,0,0,1,0,1,2,9,7.824802,0.999600,false,3070900703
10,2,3,7,1,91,2,10,8245,false,-1,5,1,0,6,1,0,-1,-1,1,0,0.000000,0.000000,false,3070910703
10,2,3,7,1,92,2,10,8428,false,-1,8,1,3,0,1,-1,0,-1,1,4,3.111868,0.955482,false,3070920703
10,2,3,7,1,93,2,10,8613,false,-1,3,0,3,3,0,-1,-1,0,0,0,0.000000,0.000000,true,3070930703
10,2,3,7,1,94,2,10,8800,false,-1,0,1,0,1,1,0,1,0,2,5,3.073136,0.953724,false,3070940703
10,2,3,7,1,95,2,10,8989,false,-1,9,1,4,1,1,1,1,-1,3,0,0.000000,0.000000,false,3070950703
10,2,3,7,1,96,2,10,9180,false,-1,0,0,0,3,0,0,-1,-1,0,7,6.084069,0.997721,true,3070960703
10,2,3,7,1,97,2,10,9373,false,-1,3,1,3,0,1,-1,0,1,2,0,0.000000,0.000000,false,3070970703
10,2,3,7,1,98,2,10,9568,false,-1,8,1,3,6,1,-1,-1,1,2,3,3.693050,0.975104,false,3070980703
10,2,3,7,1,99,2,10,9765,false,-1,5,0,0,0,0,0,0,-1,0,0,0.000000,0.000000,false,3070990703
